Bluetooth наушники JBL T500BT Pink;899;Тип наушниковНакладные;https://hi-tech.md/images/thumbnails/230/230/detailed/158/T500BTPINK.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/nakladnye/bluetooth-naushniki-jbl-t500bt-pink/
Bluetooth наушники JBL T510BT Black;999;Тип наушниковНакладные;https://hi-tech.md/images/thumbnails/230/230/detailed/158/T510BTBLK.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/nakladnye/bluetooth-naushniki-jbl-t510bt-black/
Акустика JBL CHARGE 5 Blue;3 599;Bluetooth подключениеЕсть;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLCHARGE5BLUE.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/akusticheskie-sistemy/portativnaya/akustika-jbl-charge-5-blue/
Акустика JBL CHARGE 5 Gray;3 599;Bluetooth подключениеЕсть;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLCHARGE5GRAY.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/akusticheskie-sistemy/portativnaya/akustika-jbl-charge-5-gray/
Акустика JBL CHARGE 5 Green;3 599;Bluetooth подключениеЕсть;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLCHARGE5GRN.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/akusticheskie-sistemy/portativnaya/akustika-jbl-charge-5-green/
Акустика JBL CHARGE 5 Moro;3 599;Bluetooth подключениеЕсть;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLCHARGE5SQUAD.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/akusticheskie-sistemy/portativnaya/akustika-jbl-charge-5-moro/
Акустика JBL CHARGE 5 Pink;3 599;Bluetooth подключениеЕсть;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLCHARGE5PINK.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/akusticheskie-sistemy/portativnaya/akustika-jbl-charge-5-pink/
Акустика JBL CHARGE 5 Red;3 599;Bluetooth подключениеЕсть;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLCHARGE5RED.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/akusticheskie-sistemy/portativnaya/akustika-jbl-charge-5-red/
Акустика JBL CHARGE 5 Teal;3 599;Bluetooth подключениеЕсть;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLCHARGE5TEAL.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/akusticheskie-sistemy/portativnaya/akustika-jbl-charge-5-teal/
Наушники с микрофоном JBL Q50;699;Тип наушниковВнутриканальные;https://hi-tech.md/images/thumbnails/230/230/detailed/158/JBLQUANTUM50BLK.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/nakladnye/naushniki-s-mikrofonom-jbl-q50/
телевизор Hisense 40B6700PA;4 999;Год создания модели2020;https://hi-tech.md/images/thumbnails/230/230/detailed/158/159490392.jpg;https://hi-tech.md/televizory-i-elektronika/televizory/televizor-hisense-40b6700pa/
Портативная мини-система LG PL5;1 999;Вес изделия0.62;https://hi-tech.md/images/thumbnails/230/230/detailed/157/Screenshot_11_cds0-gz.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/muzykalnaya-tehnika/portativnaya-mini-sistema-lg-pl5/
саундбар LG SN7Y;8 299;Тип сабвуфераБеспроводной;https://hi-tech.md/images/thumbnails/230/230/detailed/157/Screenshot_1_bjke-1a.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/saundbary/saundbar-lg-sn7y/
телевизор LG 32LM558BPLC;4 999;Год создания модели2021;https://hi-tech.md/images/thumbnails/230/230/detailed/157/Screenshot_1_qzo2-sb.jpg;https://hi-tech.md/televizory-i-elektronika/televizory/televizor-lg-32lm558bplc/
телевизор LG 32LM638BPLC;5 599;Год создания модели2021;https://hi-tech.md/images/thumbnails/230/230/detailed/157/Screenshot_27_su6m-w6.jpg;https://hi-tech.md/televizory-i-elektronika/televizory/televizor-lg-32lm638bplc/
телевизор LG 32LP500B6LA;4 799;Год создания модели2021;https://hi-tech.md/images/thumbnails/230/230/detailed/157/Screenshot_19_7u65-za.jpg;https://hi-tech.md/televizory-i-elektronika/televizory/televizor-lg-32lp500b6la/
телевизор Samsung QE55Q70AAUXUA;16 999;Год создания модели2021;https://hi-tech.md/images/thumbnails/230/230/detailed/156/178630804.jpg;https://hi-tech.md/televizory-i-elektronika/televizory/televizor-samsung-qe55q70aauxua/
телевизор Samsung UE50AU7100UXUA;8 999;Год создания модели2021;https://hi-tech.md/images/thumbnails/230/230/detailed/156/Screenshot_1_qype-7h.jpg;https://hi-tech.md/televizory-i-elektronika/televizory/televizor-samsung-ue50au7100uxua/
телевизор Samsung UE55AU7100UXUA;10 699;Год создания модели2021;https://hi-tech.md/images/thumbnails/230/230/detailed/156/Screenshot_1_lgxi-bq.jpg;https://hi-tech.md/televizory-i-elektronika/televizory/televizor-samsung-ue55au7100uxua/
Наушники с микрофоном Samsung HS1303 White;188;Тип наушниковВнутриканальные;https://hi-tech.md/images/thumbnails/230/230/detailed/156/ht_4051121_500x500.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/vkladyshi/naushniki-s-mikrofonom-samsung-hs1303-white/
Наушники с микрофоном Samsung HS1303 Blue;188;Тип наушниковВнутриканальные;https://hi-tech.md/images/thumbnails/230/230/detailed/156/ht_EO-HS1303LEGWW.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/vkladyshi/naushniki-s-mikrofonom-samsung-hs1303-blue/
Наушники с микрофоном Samsung HS1303 Black;188;Тип наушниковВнутриканальные;https://hi-tech.md/images/thumbnails/230/230/detailed/156/ht_Samsung_HS_130_In-Earphones_Black1.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/vkladyshi/naushniki-s-mikrofonom-samsung-hs1303-black/
Батарейка Panasonic LR6REE/8B;9;-;-;https://hi-tech.md/televizory-i-elektronika/batareyki-i-zaryadnye-ustroystva/batareyka-panasonic-lr6ree-8b/
Батарейка Panasonic 3LR12PPG/1B Уценка;44;-;-;https://hi-tech.md/televizory-i-elektronika/batareyki-i-zaryadnye-ustroystva/batareyka-panasonic-3lr12ppg-1b-ucenka/
-;-;-;-;-
Адаптер-переходник для аккум. Panasonic BQ-BS1E/2E;21;-;-;https://hi-tech.md/televizory-i-elektronika/batareyki-i-zaryadnye-ustroystva/adapter-perehodnik-dlya-akkum.-panasonic-bq-bs1e-2e/
Микрофон на подставке Gembird MIC-DU-02;99;Вес изделия0.038 кг;https://hi-tech.md/images/thumbnails/230/230/detailed/156/MIC-DU-02.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/mikrofony/mikrofon-na-podstavke-gembird-mic-du-02/
Наушники с микрофоном Gembird GHS-05-B blue-black;179;Тип наушниковНакладные;https://hi-tech.md/images/thumbnails/230/230/detailed/156/GHS-05-B.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/nakladnye/naushniki-s-mikrofonom-gembird-ghs-05-b-blue-black/
Наушники с микрофоном Gembird GHS-05-R red-black;179;Тип наушниковНакладные;https://hi-tech.md/images/thumbnails/230/230/detailed/156/GHS-05-R.jpg;https://hi-tech.md/televizory-i-elektronika/audiotehnika/naushniki/nakladnye/naushniki-s-mikrofonom-gembird-ghs-05-r-red-black/
IP-видеокамера Dahua (DH-IPC-K42P);1 476;-;https://hi-tech.md/images/thumbnails/230/230/detailed/154/DH-IPC-K22AP_in4z-6l_ajx6-c0.jpg;https://hi-tech.md/kompyuternaya-tehnika/hd-cvi-kamery/ip-kamery/ip-videokamera-dahua-dh-ipc-k42p/
